ko_number	name	description	metabolism
K00260	gudB, rocG	glutamate dehydrogenase [EC:1.4.1.2]	Nitrogen metabolism
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	Nitrogen metabolism
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	Nitrogen metabolism
K01915	glnA, GLUL	glutamine synthetase [EC:6.3.1.2]	Nitrogen metabolism
K00264	GLT1	glutamate synthase (NADH) [EC:1.4.1.14]	Nitrogen metabolism
K00265	gltB	glutamate synthase (NADPH) large chain [EC:1.4.1.13]	Nitrogen metabolism
K00266	gltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	Nitrogen metabolism
K00284	GLU, gltS	glutamate synthase (ferredoxin) [EC:1.4.7.1]	Nitrogen metabolism
K01948	CPS1	carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]	Nitrogen metabolism
K01725	cynS	cyanate lyase [EC:4.2.1.104]	Nitrogen metabolism
K00926	arcC	carbamate kinase [EC:2.7.2.2]	Nitrogen metabolism
K01672	CA	carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism
K18245	CA2	carbonic anhydrase 2 [EC:4.2.1.1]	Nitrogen metabolism
K18246	CA4	carbonic anhydrase 4 [EC:4.2.1.1]	Nitrogen metabolism
K01673	cynT, can	carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism
K01674	cah	carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism
K01743	E4.2.1.1	carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism
K01601	rbcL	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	RuBisCO
K01602	rbcS, cbbS	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	RuBisCO
K02048	cysP	sulfate/thiosulfate transport system substrate-binding protein	ABC transporters
K23163	sbp	sulfate/thiosulfate transport system substrate-binding protein	ABC transporters
K02046	cysU	sulfate/thiosulfate transport system permease protein	ABC transporters
K02047	cysW	sulfate/thiosulfate transport system permease protein	ABC transporters
K02045	cysA	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	ABC transporters
K05772	tupA, vupA	tungstate transport system substrate-binding protein	ABC transporters
K05773	tupB, vupB	tungstate transport system permease protein	ABC transporters
K06857	tupC, vupC	tungstate transport system ATP-binding protein [EC:7.3.2.6]	ABC transporters
K15495	wtpA	molybdate/tungstate transport system substrate-binding protein	ABC transporters
K15496	wtpB	molybdate/tungstate transport system permease protein	ABC transporters
K15497	wtpC	molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6]	ABC transporters
K15576	nrtA, nasF, cynA	nitrate/nitrite transport system substrate-binding protein	ABC transporters
K15577	nrtB, nasE, cynB	nitrate/nitrite transport system permease protein	ABC transporters
K15578	nrtC, nasD	nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]	ABC transporters
K15579	nrtD, cynD	nitrate/nitrite transport system ATP-binding protein	ABC transporters
K11950	cmpA	bicarbonate transport system substrate-binding protein	ABC transporters
K11951	cmpB	bicarbonate transport system permease protein	ABC transporters
K11952	cmpC	bicarbonate transport system ATP-binding protein [EC:7.3.2.-]	ABC transporters
K11953	cmpD	bicarbonate transport system ATP-binding protein [EC:7.3.2.-]	ABC transporters
K15551	tauA	taurine transport system substrate-binding protein	ABC transporters
K15552	tauC	taurine transport system permease protein	ABC transporters
K10831	tauB	taurine transport system ATP-binding protein [EC:7.6.2.7]	ABC transporters
K15553	ssuA	sulfonate transport system substrate-binding protein	ABC transporters
K15554	ssuC	sulfonate transport system permease protein	ABC transporters
K15555	ssuB	sulfonate transport system ATP-binding protein [EC:7.6.2.14]	ABC transporters
K15598	thiY	putative hydroxymethylpyrimidine transport system substrate-binding protein	ABC transporters
K15599	thiX	putative hydroxymethylpyrimidine transport system permease protein	ABC transporters
K15600	thiZ	putative hydroxymethylpyrimidine transport system ATP-binding protein	ABC transporters
K15556	ophF	phthalate transport system substrate-binding protein	ABC transporters
K15557	ophG	phthalate transport system permease protein	ABC transporters
K15558	ophH	phthalate transport system ATP-binding protein	ABC transporters
K02020	modA	molybdate transport system substrate-binding protein	ABC transporters
K02018	modB	molybdate transport system permease protein	ABC transporters
K02017	modC	molybdate transport system ATP-binding protein [EC:7.3.2.5]	ABC transporters
K05776	modF	molybdate transport system ATP-binding protein	ABC transporters
K02012	afuA, fbpA	iron(III) transport system substrate-binding protein	ABC transporters
K02011	afuB, fbpB	iron(III) transport system permease protein	ABC transporters
K02010	afuC, fbpC	iron(III) transport system ATP-binding protein [EC:7.2.2.7]	ABC transporters
K02064	thiB, tbpA	thiamine transport system substrate-binding protein	ABC transporters
K02063	thiP	thiamine transport system permease protein	ABC transporters
K02062	thiQ	thiamine transport system ATP-binding protein [EC:7.6.2.15]	ABC transporters
K11069	potD	spermidine/putrescine transport system substrate-binding protein	ABC transporters
K11070	potC	spermidine/putrescine transport system permease protein	ABC transporters
K11071	potB	spermidine/putrescine transport system permease protein	ABC transporters
K11072	potA	spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]	ABC transporters
K11073	potF, spuD, spuE	putrescine transport system substrate-binding protein	ABC transporters
K11074	potI, spuH	putrescine transport system permease protein	ABC transporters
K11075	potH, spuG	putrescine transport system permease protein	ABC transporters
K11076	potG, spuF	putrescine transport system ATP-binding protein [EC:7.6.2.16]	ABC transporters
K11077	attC	mannopine transport system substrate-binding protein	ABC transporters
K11078	attB	mannopine transport system permease protein	ABC transporters
K11079	attA2	mannopine transport system permease protein	ABC transporters
K11080	attA1	mannopine transport system ATP-binding protein	ABC transporters
K11081	phnS	2-aminoethylphosphonate transport system substrate-binding protein	ABC transporters
K11082	phnV	2-aminoethylphosphonate transport system permease protein	ABC transporters
K11083	phnU	2-aminoethylphosphonate transport system permease protein	ABC transporters
K11084	phnT	2-aminoethylphosphonate transport system ATP-binding protein	ABC transporters
K02002	proX	glycine betaine/proline transport system substrate-binding protein	ABC transporters
K02001	proW	glycine betaine/proline transport system permease protein	ABC transporters
K02000	proV	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	ABC transporters
K05845	opuC	osmoprotectant transport system substrate-binding protein	ABC transporters
K05846	opuBD	osmoprotectant transport system permease protein	ABC transporters
K05847	opuA	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	ABC transporters
K10108	malE	maltose/maltodextrin transport system substrate-binding protein	ABC transporters
K10109	malF	maltose/maltodextrin transport system permease protein	ABC transporters
K10110	malG	maltose/maltodextrin transport system permease protein	ABC transporters
K10111	malK, mtlK, thuK	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	ABC transporters
K10112	msmX, msmK, malK, sugC, ggtA, msiK	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	ABC transporters
K15770	cycB, ganO, mdxE	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	ABC transporters
K15771	ganP, mdxF	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	ABC transporters
K15772	ganQ, mdxG	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	ABC transporters
K10117	msmE	raffinose/stachyose/melibiose transport system substrate-binding protein	ABC transporters
K10118	msmF	raffinose/stachyose/melibiose transport system permease protein	ABC transporters
K10119	msmG	raffinose/stachyose/melibiose transport system permease protein	ABC transporters
K10188	lacE, araN	lactose/L-arabinose transport system substrate-binding protein	ABC transporters
K10189	lacF, araP	lactose/L-arabinose transport system permease protein	ABC transporters
K10190	lacG, araQ	lactose/L-arabinose transport system permease protein	ABC transporters
K10191	lacK	lactose/L-arabinose transport system ATP-binding protein	ABC transporters
K10227	smoE, mtlE	polyol transport system substrate-binding protein	ABC transporters
K10228	smoF, mtlF	polyol transport system permease protein	ABC transporters
K10229	smoG, mtlG	polyol transport system permease protein	ABC transporters
K10232	aglE, ggtB	alpha-glucoside transport system substrate-binding protein	ABC transporters
K10233	aglF, ggtC	alpha-glucoside transport system permease protein	ABC transporters
K10234	aglG, ggtD	alpha-glucoside transport system permease protein	ABC transporters
K10235	aglK	alpha-glucoside transport system ATP-binding protein	ABC transporters
K10192	togB	oligogalacturonide transport system substrate-binding protein	ABC transporters
K10193	togM	oligogalacturonide transport system permease protein	ABC transporters
K10194	togN	oligogalacturonide transport system permease protein	ABC transporters
K10195	togA	oligogalacturonide transport system ATP-binding protein	ABC transporters
K17241	aguE	alpha-1,4-digalacturonate transport system substrate-binding protein	ABC transporters
K17242	aguF	alpha-1,4-digalacturonate transport system permease protein	ABC transporters
K17243	aguG	alpha-1,4-digalacturonate transport system permease protein	ABC transporters
K17318	lplA	putative aldouronate transport system substrate-binding protein	ABC transporters
K17319	lplB	putative aldouronate transport system permease protein	ABC transporters
K17320	lplC	putative aldouronate transport system permease protein	ABC transporters
K10236	thuE, lpqY	trehalose/maltose transport system substrate-binding protein	ABC transporters
K10237	thuF, sugA	trehalose/maltose transport system permease protein	ABC transporters
K10238	thuG, sugB	trehalose/maltose transport system permease protein	ABC transporters
K17311	treS	trehalose transport system substrate-binding protein	ABC transporters
K17312	treT	trehalose transport system permease protein	ABC transporters
K17313	treU	trehalose transport system permease protein	ABC transporters
K17314	treV	trehalose transport system ATP-binding protein	ABC transporters
K10200	ngcE	N-acetylglucosamine transport system substrate-binding protein	ABC transporters
K10201	ngcF	N-acetylglucosamine transport system permease protein	ABC transporters
K10202	ngcG	N-acetylglucosamine transport system permease protein	ABC transporters
K10240	cebE	cellobiose transport system substrate-binding protein	ABC transporters
K10241	cebF	cellobiose transport system permease protein	ABC transporters
K10242	cebG	cellobiose transport system permease protein	ABC transporters
K17329	dasA	N,N'-diacetylchitobiose transport system substrate-binding protein	ABC transporters
K17330	dasB	N,N'-diacetylchitobiose transport system permease protein	ABC transporters
K17331	dasC	N,N'-diacetylchitobiose transport system permease protein	ABC transporters
K17244	chiE	putative chitobiose transport system substrate-binding protein	ABC transporters
K17245	chiF	putative chitobiose transport system permease protein	ABC transporters
K17246	chiG	putative chitobiose transport system permease protein	ABC transporters
K17234	araN	arabinooligosaccharide transport system substrate-binding protein	ABC transporters
K17235	araP	arabinooligosaccharide transport system permease protein	ABC transporters
K17236	araQ	arabinooligosaccharide transport system permease protein	ABC transporters
K17326	bxlE	xylobiose transport system substrate-binding protein	ABC transporters
K17327	bxlF	xylobiose transport system permease protein	ABC transporters
K17328	bxlG	xylobiose transport system permease protein	ABC transporters
K23545	yphF	sugar transport system substrate-binding protein	ABC transporters
K23546	yphD	sugar transport system permease protein	ABC transporters
K23547	yphE	sugar transport system ATP-binding protein	ABC transporters
K10546	chvE	putative multiple sugar transport system substrate-binding protein	ABC transporters
K10547	gguB	putative multiple sugar transport system permease protein	ABC transporters
K10548	gguA	putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	ABC transporters
K07323	mlaC	phospholipid transport system substrate-binding protein	ABC transporters
K02067	mlaD, linM	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	ABC transporters
K02066	mlaE, linK	phospholipid/cholesterol/gamma-HCH transport system permease protein	ABC transporters
K07122	mlaB	phospholipid transport system transporter-binding protein	ABC transporters
K02065	mlaF, linL, mkl	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	ABC transporters
K07335	bmpA, bmpB, tmpC	basic membrane protein A and related proteins	ABC transporters
K23535	nupB	general nucleoside transport system permease protein	ABC transporters
K23536	nupC	general nucleoside transport system permease protein	ABC transporters
K23537	nupA	general nucleoside transport system ATP-binding protein	ABC transporters
K10196	glcS, araS	glucose/arabinose transport system substrate-binding protein	ABC transporters
K10197	glcT, araT	glucose/arabinose transport system permease protein	ABC transporters
K10198	glcU, araU	glucose/arabinose transport system permease protein	ABC transporters
K10199	glcV, araV	glucose/arabinose transport system ATP-binding protein	ABC transporters
K17315	gtsA, glcE	glucose/mannose transport system substrate-binding protein	ABC transporters
K17316	gtsB, glcF	glucose/mannose transport system permease protein	ABC transporters
K17317	gtsC, glcG	glucose/mannose transport system permease protein	ABC transporters
K10439	rbsB	ribose transport system substrate-binding protein	ABC transporters
K10440	rbsC	ribose transport system permease protein	ABC transporters
K10441	rbsA	ribose transport system ATP-binding protein [EC:7.5.2.7]	ABC transporters
K06726	rbsD	D-ribose pyranase [EC:5.4.99.62]	ABC transporters
K10537	araF	L-arabinose transport system substrate-binding protein	ABC transporters
K10538	araH	L-arabinose transport system permease protein	ABC transporters
K10539	araG	L-arabinose transport system ATP-binding protein [EC:7.5.2.12]	ABC transporters
K23508	ytfQ	galactofuranose transport system substrate-binding protein	ABC transporters
K23509	ytfT, yjfF	galactofuranose transport system permease protein	ABC transporters
K10820	ytfR	galactofuranose transport system ATP-binding protein [EC:7.5.2.9]	ABC transporters
K10540	mglB	methyl-galactoside transport system substrate-binding protein	ABC transporters
K10541	mglC	methyl-galactoside transport system permease protein	ABC transporters
K10542	mglA	methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11]	ABC transporters
K10543	xylF	D-xylose transport system substrate-binding protein	ABC transporters
K10544	xylH	D-xylose transport system permease protein	ABC transporters
K10545	xylG	D-xylose transport system ATP-binding protein [EC:7.5.2.10]	ABC transporters
K10549	alsB	D-allose transport system substrate-binding protein	ABC transporters
K10550	alsC	D-allose transport system permease protein	ABC transporters
K10551	alsA	D-allose transport system ATP-binding protein [EC:7.5.2.8]	ABC transporters
K10552	frcB	fructose transport system substrate-binding protein	ABC transporters
K10553	frcC	fructose transport system permease protein	ABC transporters
K10554	frcA	fructose transport system ATP-binding protein	ABC transporters
K10559	rhaS	rhamnose transport system substrate-binding protein	ABC transporters
K10560	rhaP	rhamnose transport system permease protein	ABC transporters
K10561	rhaQ	rhamnose transport system permease protein	ABC transporters
K10562	rhaT	rhamnose transport system ATP-binding protein [EC:7.5.2.-]	ABC transporters
K17202	eryG	erythritol transport system substrate-binding protein	ABC transporters
K17203	eryF	erythritol transport system permease protein	ABC transporters
K17204	eryE	erythritol transport system ATP-binding protein	ABC transporters
K17205	xltC	putative xylitol transport system substrate-binding protein	ABC transporters
K17206	xltB	putative xylitol transport system permease protein	ABC transporters
K17207	xltA	putative xylitol transport system ATP-binding protein	ABC transporters
K17208	ibpA	inositol transport system substrate-binding protein	ABC transporters
K17209	iatP	inositol transport system permease protein	ABC transporters
K17210	iatA	inositol transport system ATP-binding protein	ABC transporters
K17213	K17213	inositol transport system substrate-binding protein	ABC transporters
K17214	K17214	inositol transport system permease protein	ABC transporters
K17215	K17215	inositol transport system ATP-binding protein	ABC transporters
K17237	inoE	inositol-phosphate transport system substrate-binding protein	ABC transporters
K17238	inoF	inositol-phosphate transport system permease protein	ABC transporters
K17239	inoG	inositol-phosphate transport system permease protein	ABC transporters
K17240	inoK	inositol-phosphate transport system ATP-binding protein	ABC transporters
K17321	glpV	glycerol transport system substrate-binding protein	ABC transporters
K17322	K17322, glpP	glycerol transport system permease protein	ABC transporters
K17323	glpQ	glycerol transport system permease protein	ABC transporters
K17324	glpS	glycerol transport system ATP-binding protein	ABC transporters
K17325	K17325, glpT	glycerol transport system ATP-binding protein	ABC transporters
K05813	ugpB	sn-glycerol 3-phosphate transport system substrate-binding protein	ABC transporters
K05814	ugpA	sn-glycerol 3-phosphate transport system permease protein	ABC transporters
K05815	ugpE	sn-glycerol 3-phosphate transport system permease protein	ABC transporters
K05816	ugpC	sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]	ABC transporters
K02040	pstS	phosphate transport system substrate-binding protein	ABC transporters
K02037	pstC	phosphate transport system permease protein	ABC transporters
K02038	pstA	phosphate transport system permease protein	ABC transporters
K02036	pstB	phosphate transport system ATP-binding protein [EC:7.3.2.1]	ABC transporters
K02044	phnD	phosphonate transport system substrate-binding protein	ABC transporters
K02042	phnE	phosphonate transport system permease protein	ABC transporters
K02041	phnC	phosphonate transport system ATP-binding protein [EC:7.3.2.2]	ABC transporters
K10013	argT	lysine/arginine/ornithine transport system substrate-binding protein	ABC transporters
K10015	hisM	histidine transport system permease protein	ABC transporters
K10016	hisQ	histidine transport system permease protein	ABC transporters
K10017	hisP	histidine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K10014	hisJ	histidine transport system substrate-binding protein	ABC transporters
K10036	glnH	glutamine transport system substrate-binding protein	ABC transporters
K10037	glnP	glutamine transport system permease protein	ABC transporters
K10038	glnQ	glutamine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K10039	peb1A, glnH	aspartate/glutamate/glutamine transport system substrate-binding protein	ABC transporters
K10040	peb1B, glnP, glnM	aspartate/glutamate/glutamine transport system permease protein	ABC transporters
K10041	peb1C, glnQ	aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K09996	artJ	arginine transport system substrate-binding protein	ABC transporters
K09997	artI	arginine transport system substrate-binding protein	ABC transporters
K09998	artM	arginine transport system permease protein	ABC transporters
K09999	artQ	arginine transport system permease protein	ABC transporters
K10000	artP	arginine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K10001	gltI, aatJ	glutamate/aspartate transport system substrate-binding protein	ABC transporters
K10002	gltK, aatM	glutamate/aspartate transport system permease protein	ABC transporters
K10003	gltJ, aatQ	glutamate/aspartate transport system permease protein	ABC transporters
K10004	gltL, aatP	glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K10018	occT, nocT	octopine/nopaline transport system substrate-binding protein	ABC transporters
K10019	occM, nocM	octopine/nopaline transport system permease protein	ABC transporters
K10020	occQ, nocQ	octopine/nopaline transport system permease protein	ABC transporters
K10021	occP, nocP	octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K09969	aapJ, bztA	general L-amino acid transport system substrate-binding protein	ABC transporters
K09970	aapQ, bztB	general L-amino acid transport system permease protein	ABC transporters
K09971	aapM, bztC	general L-amino acid transport system permease protein	ABC transporters
K09972	aapP, bztD	general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K10005	gluB	glutamate transport system substrate-binding protein	ABC transporters
K10006	gluC	glutamate transport system permease protein	ABC transporters
K10007	gluD	glutamate transport system permease protein	ABC transporters
K10008	gluA	glutamate transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K02424	fliY, tcyA	L-cystine transport system substrate-binding protein	ABC transporters
K10009	tcyB, yecS	L-cystine transport system permease protein	ABC transporters
K10010	tcyC, yecC	L-cystine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K16956	tcyJ	L-cystine transport system substrate-binding protein	ABC transporters
K16957	tcyK	L-cystine transport system substrate-binding protein	ABC transporters
K16958	tcyL	L-cystine transport system permease protein	ABC transporters
K16959	tcyM	L-cystine transport system permease protein	ABC transporters
K16960	tcyN	L-cystine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K16961	yxeM	putative S-methylcysteine transport system substrate-binding protein	ABC transporters
K16962	yxeN	putative S-methylcysteine transport system permease protein	ABC transporters
K16963	yxeO	putative S-methylcysteine transport system ATP-binding protein	ABC transporters
K10022	aotJ	arginine/ornithine transport system substrate-binding protein	ABC transporters
K10023	aotM	arginine/ornithine transport system permease protein	ABC transporters
K10024	aotQ	arginine/ornithine transport system permease protein	ABC transporters
K10025	aotP	arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K17062	bgtB	arginine/lysine/histidine/glutamine transport system substrate-binding and permease protein	ABC transporters
K17063	bgtA	arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K23059	artP, artI	arginine/lysine/histidine transporter system substrate-binding protein	ABC transporters
K17077	artQ	arginine/lysine/histidine transport system permease protein	ABC transporters
K23060	artR, artM	arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K17073	lysX1	putative lysine transport system substrate-binding protein	ABC transporters
K17074	lysX2	putative lysine transport system permease protein	ABC transporters
K17076	lysY	putative lysine transport system ATP-binding protein	ABC transporters
K23055	K23055	putative lysine/arginine/ornithine/histidine/octopine transport system substrate-binding protein	ABC transporters
K23056	K23056	putative lysine/arginine/ornithine/histidine/octopine transport system permease protein	ABC transporters
K23057	K23057	putative lysine/arginine/ornithine/histidine/octopine transport system permease protein	ABC transporters
K23058	K23058	putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K23061	lhpP	hydroxyproline transporter system substrate-binding protein	ABC transporters
K23062	lhpM	hydroxyproline transport system permease protein	ABC transporters
K23063	lhpN	hydroxyproline transport system permease protein	ABC transporters
K23064	lhpO	hydroxyproline transport system ATP-binding protein [EC:7.4.2.1]	ABC transporters
K01999	livK	branched-chain amino acid transport system substrate-binding protein	ABC transporters
K01997	livH	branched-chain amino acid transport system permease protein	ABC transporters
K01998	livM	branched-chain amino acid transport system permease protein	ABC transporters
K01995	livG	branched-chain amino acid transport system ATP-binding protein	ABC transporters
K01996	livF	branched-chain amino acid transport system ATP-binding protein	ABC transporters
K11954	natB	neutral amino acid transport system substrate-binding protein	ABC transporters
K11955	natC	neutral amino acid transport system permease protein	ABC transporters
K11956	natD	neutral amino acid transport system permease protein	ABC transporters
K11957	natA	neutral amino acid transport system ATP-binding protein	ABC transporters
K11958	natE	neutral amino acid transport system ATP-binding protein	ABC transporters
K02073	metQ	D-methionine transport system substrate-binding protein	ABC transporters
K02072	metI	D-methionine transport system permease protein	ABC transporters
K02071	metN	D-methionine transport system ATP-binding protein	ABC transporters
K11959	urtA	urea transport system substrate-binding protein	ABC transporters
K11960	urtB	urea transport system permease protein	ABC transporters
K11961	urtC	urea transport system permease protein	ABC transporters
K11962	urtD	urea transport system ATP-binding protein	ABC transporters
K11963	urtE	urea transport system ATP-binding protein	ABC transporters
K15580	oppA, mppA	oligopeptide transport system substrate-binding protein	ABC transporters
K15581	oppB	oligopeptide transport system permease protein	ABC transporters
K15582	oppC	oligopeptide transport system permease protein	ABC transporters
K15583	oppD	oligopeptide transport system ATP-binding protein	ABC transporters
K10823	oppF	oligopeptide transport system ATP-binding protein	ABC transporters
K12368	dppA	dipeptide transport system substrate-binding protein	ABC transporters
K12369	dppB	dipeptide transport system permease protein	ABC transporters
K12370	dppC	dipeptide transport system permease protein	ABC transporters
K12371	dppD	dipeptide transport system ATP-binding protein	ABC transporters
K12372	dppF	dipeptide transport system ATP-binding protein	ABC transporters
K16199	dppE	dipeptide transport system substrate-binding protein	ABC transporters
K16200	dppB1	dipeptide transport system permease protein	ABC transporters
K16201	dppC	dipeptide transport system permease protein	ABC transporters
K16202	dppD	dipeptide transport system ATP-binding protein	ABC transporters
K23125	DEFB1	beta-defensin 1	ABC transporters
K19226	sapA	cationic peptide transport system substrate-binding protein	ABC transporters
K19227	sapB	cationic peptide transport system permease protein	ABC transporters
K19228	sapC	cationic peptide transport system permease protein	ABC transporters
K19229	sapD	cationic peptide transport system ATP-binding protein	ABC transporters
K19230	sapF	cationic peptide transport system ATP-binding protein	ABC transporters
K15584	nikA, cntA	nickel transport system substrate-binding protein	ABC transporters
K15585	nikB, cntB	nickel transport system permease protein	ABC transporters
K15586	nikC, cntC	nickel transport system permease protein	ABC transporters
